Income (Median family income) for California by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2017-2021"
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"United States",00000,85,028,"N/A"
"California",06000,95,971,"13 of 51"
"Trinity County",06105,53,850,"2,812"
"Modoc County",06049,56,225,"2,674"
"Imperial County",06025,56,301,"2,667"
"Tulare County",06107,60,187,"2,430"
"Siskiyou County",06093,62,037,"2,295"
"Mariposa County",06043,63,467,"2,174"
"Del Norte County",06015,64,156,"2,126"
"Merced County",06047,64,175,"2,122"
"Kern County",06029,64,828,"2,056"
"Kings County",06031,65,338,"2,020"
"Tehama County",06103,65,819,"1,972"
"Sierra County",06091,66,471,"1,916"
"Lassen County",06035,68,174,"1,773"
"Fresno County",06019,68,681,"1,729"
"Glenn County",06021,69,308,"1,670"
"Madera County",06039,70,576,"1,553"
"Yuba County",06115,71,561,"1,466"
"Mendocino County",06045,71,627,"1,459"
"Lake County",06033,72,279,"1,421"
"Humboldt County",06023,73,559,"1,305"
"Colusa County",06011,74,668,"1,224"
"Plumas County",06063,74,696,"1,221"
"Stanislaus County",06099,75,348,"1,168"
"Shasta County",06089,75,918,"1,120"
"Inyo County",06027,76,111,"1,099"
"Butte County",06007,76,651,"1,061"
"San Bernardino County",06071,77,516,"985"
"Sutter County",06101,77,580,"983"
"San Joaquin County",06077,82,719,"708"
"Mono County",06051,85,375,"574"
"Calaveras County",06009,85,798,"552"
"Los Angeles County",06037,85,834,"549"
"Riverside County",06065,86,562,"524"
"Tuolumne County",06109,87,073,"502"
"Monterey County",06053,87,292,"490"
"Sacramento County",06067,88,841,"429"
"Amador County",06005,90,176,"393"
"Nevada County",06057,95,257,"293"
"Santa Barbara County",06083,95,979,"282"
"San Diego County",06073,101,902,"204"
"Solano County",06095,102,019,"199"
"Yolo County",06113,102,595,"193"
"San Luis Obispo County",06079,103,670,"182"
"San Benito County",06069,105,990,"158"
"Ventura County",06111,106,425,"155"
"Alpine County",06003,107,115,"147"
"Sonoma County",06097,109,419,"129"
"El Dorado County",06017,112,624,"107"
"Napa County",06055,112,984,"106"
"Orange County",06059,113,249,"102"
"Santa Cruz County",06087,118,979,"75"
"Placer County",06061,119,457,"73"
"Contra Costa County",06013,127,279,"39"
"Alameda County",06001,134,985,"25"
"San Francisco County",06075,147,176,"14"
"San Mateo County",06081,159,133,"6"
"Santa Clara County",06085,159,872,"5"
"Marin County",06041,170,253,"4"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 11/25/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
